position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s     L_dephasing_l   L_dephasing_s  
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)              (mm)            (mm)           
4.700000000e+00       -4.239167768e+01            -2.530392475e+00                5.319753896e+01                1.230260455e+00                      8.275468802e+00                    -4.369180970e+01                 1.429309345e+00           1.290688216e-01           
4.750000000e+00       -4.276442994e+01            -2.557028186e+00                5.363176420e+01                1.244375867e+00                      8.310306077e+00                    -4.407708226e+01                 1.435244264e+00           1.297782562e-01           
4.800000000e+00       -4.313509004e+01            -2.583663896e+00                5.406376421e+01                1.258517741e+00                      8.345010275e+00                    -4.446023620e+01                 1.440747905e+00           1.304958526e-01           
4.850000000e+00       -4.350365788e+01            -2.610299606e+00                5.449354969e+01                1.272686198e+00                      8.379592211e+00                    -4.484127129e+01                 1.445841541e+00           1.312215107e-01           
4.900000000e+00       -4.387013403e+01            -2.636935316e+00                5.492113129e+01                1.286881361e+00                      8.414061943e+00                    -4.522018799e+01                 1.450547984e+00           1.319551228e-01           
4.950000000e+00       -4.423451980e+01            -2.663571027e+00                5.534651960e+01                1.301103359e+00                      8.448428768e+00                    -4.559698747e+01                 1.454891457e+00           1.326965733e-01           
5.000000000e+00       -4.459681718e+01            -2.690206737e+00                5.576972514e+01                1.315352319e+00                      8.482701225e+00                    -4.597167160e+01                 1.458897463e+00           1.334457381e-01           
5.050000000e+00       -4.495702887e+01            -2.716842447e+00                5.619075840e+01                1.329628371e+00                      8.516887093e+00                    -4.634424294e+01                 1.462592662e+00           1.342024845e-01           
5.100000000e+00       -4.531515826e+01            -2.743478157e+00                5.660962982e+01                1.343931649e+00                      8.550993394e+00                    -4.671470477e+01                 1.466004750e+00           1.349666708e-01           
5.150000000e+00       -4.567120948e+01            -2.770113868e+00                5.702634974e+01                1.358262287e+00                      8.585026393e+00                    -4.708306106e+01                 1.469162344e+00           1.357381457e-01           
5.200000000e+00       -4.602518733e+01            -2.796749578e+00                5.744092851e+01                1.372620420e+00                      8.618991595e+00                    -4.744931649e+01                 1.472094879e+00           1.365167479e-01           
5.250000000e+00       -4.637709733e+01            -2.823385288e+00                5.785337637e+01                1.387006186e+00                      8.652893750e+00                    -4.781347644e+01                 1.474832513e+00           1.373023061e-01           
5.300000000e+00       -4.672694570e+01            -2.850020998e+00                5.826370355e+01                1.401419725e+00                      8.686736849e+00                    -4.817554697e+01                 1.477406036e+00           1.380946379e-01           
5.350000000e+00       -4.707473936e+01            -2.876656709e+00                5.867192020e+01                1.415861176e+00                      8.720524131e+00                    -4.853553489e+01                 1.479846803e+00           1.388935502e-01           
5.400000000e+00       -4.742048594e+01            -2.903292419e+00                5.907803643e+01                1.430330680e+00                      8.754258073e+00                    -4.889344768e+01                 1.482186666e+00           1.396988379e-01           
5.450000000e+00       -4.776419377e+01            -2.929928129e+00                5.948206230e+01                1.444828381e+00                      8.787940402e+00                    -4.924929352e+01                 1.484457929e+00           1.405102844e-01           
5.500000000e+00       -4.810587188e+01            -2.956563840e+00                5.988400781e+01                1.459354421e+00                      8.821572086e+00                    -4.960308130e+01                 1.486693309e+00           1.413276602e-01           
5.550000000e+00       -4.844553002e+01            -2.983199550e+00                6.028388292e+01                1.473908944e+00                      8.855153341e+00                    -4.995482063e+01                 1.488925915e+00           1.421507233e-01           
5.600000000e+00       -4.878317864e+01            -3.009835260e+00                6.068169752e+01                1.488492095e+00                      8.888683625e+00                    -5.030452180e+01                 1.491189244e+00           1.429792183e-01           
5.650000000e+00       -4.911882886e+01            -3.036470970e+00                6.107746148e+01                1.503104019e+00                      8.922161647e+00                    -5.065219582e+01                 1.493517184e+00           1.438128760e-01           
5.700000000e+00       -4.945249256e+01            -3.063106681e+00                6.147118460e+01                1.517744861e+00                      8.955585357e+00                    -5.099785438e+01                 1.495944038e+00           1.446514134e-01           
5.750000000e+00       -4.978418228e+01            -3.089742391e+00                6.186287663e+01                1.532414767e+00                      8.988951955e+00                    -5.134150991e+01                 1.498504566e+00           1.454945324e-01           
5.800000000e+00       -5.011391129e+01            -3.116378101e+00                6.225254728e+01                1.547113883e+00                      9.022257888e+00                    -5.168317551e+01                 1.501234036e+00           1.463419205e-01           
5.850000000e+00       -5.044169354e+01            -3.143013811e+00                6.264020620e+01                1.561842353e+00                      9.055498849e+00                    -5.202286500e+01                 1.504168300e+00           1.471932492e-01           
5.900000000e+00       -5.076754370e+01            -3.169649522e+00                6.302586301e+01                1.576600323e+00                      9.088669780e+00                    -5.236059290e+01                 1.507343881e+00           1.480481747e-01           
5.950000000e+00       -5.109147716e+01            -3.196285232e+00                6.340952726e+01                1.591387937e+00                      9.121764871e+00                    -5.269637445e+01                 1.510798084e+00           1.489063367e-01           
6.000000000e+00       -5.141350997e+01            -3.222920942e+00                6.379120847e+01                1.606205341e+00                      9.154777561e+00                    -5.303022557e+01                 1.514569126e+00           1.497673582e-01           
6.050000000e+00       -5.173365892e+01            -3.249556652e+00                6.417091611e+01                1.621052677e+00                      9.187700536e+00                    -5.336216289e+01                 1.518696280e+00           1.506308455e-01           
6.100000000e+00       -5.205194149e+01            -3.276192363e+00                6.454865959e+01                1.635930089e+00                      9.220525734e+00                    -5.369220377e+01                 1.523220058e+00           1.514963874e-01           
6.150000000e+00       -5.236837588e+01            -3.302828073e+00                6.492444829e+01                1.650837717e+00                      9.253244341e+00                    -5.402036623e+01                 1.528182401e+00           1.523635550e-01           
6.200000000e+00       -5.268298096e+01            -3.329463783e+00                6.529829154e+01                1.665775703e+00                      9.285846795e+00                    -5.434666904e+01                 1.533626909e+00           1.532319014e-01           
6.250000000e+00       -5.299577635e+01            -3.356099494e+00                6.567019862e+01                1.680744186e+00                      9.318322782e+00                    -5.467113165e+01                 1.539599097e+00           1.541009614e-01           
6.300000000e+00       -5.330678232e+01            -3.382735204e+00                6.604017877e+01                1.695743305e+00                      9.350661240e+00                    -5.499377422e+01                 1.546146687e+00           1.549702512e-01           
6.350000000e+00       -5.361601990e+01            -3.409370914e+00                6.640824117e+01                1.710773195e+00                      9.382850359e+00                    -5.531461762e+01                 1.553319939e+00           1.558392682e-01           
6.400000000e+00       -5.392351078e+01            -3.436006624e+00                6.677439498e+01                1.725833991e+00                      9.414877579e+00                    -5.563368341e+01                 1.561172020e+00           1.567074907e-01           
6.450000000e+00       -5.422927737e+01            -3.462642335e+00                6.713864930e+01                1.740925827e+00                      9.446729593e+00                    -5.595099388e+01                 1.569759439e+00           1.575743779e-01           
6.500000000e+00       -5.453334280e+01            -3.489278045e+00                6.750101319e+01                1.756048835e+00                      9.478392346e+00                    -5.626657201e+01                 1.579142518e+00           1.584393694e-01           
6.550000000e+00       -5.483573088e+01            -3.515913755e+00                6.786149567e+01                1.771203142e+00                      9.509851036e+00                    -5.658044149e+01                 1.589385954e+00           1.593018855e-01           
6.600000000e+00       -5.513646613e+01            -3.542549465e+00                6.822010571e+01                1.786388877e+00                      9.541090113e+00                    -5.689262672e+01                 1.600559442e+00           1.601613270e-01           
6.650000000e+00       -5.543557378e+01            -3.569185176e+00                6.857685224e+01                1.801606163e+00                      9.572093282e+00                    -5.720315279e+01                 1.612738396e+00           1.610170750e-01           
6.700000000e+00       -5.573307976e+01            -3.595820886e+00                6.893174414e+01                1.816855124e+00                      9.602843499e+00                    -5.751204552e+01                 1.626004784e+00           1.618684913e-01           
6.750000000e+00       -5.602901070e+01            -3.622456596e+00                6.928479027e+01                1.832135878e+00                      9.633322976e+00                    -5.781933142e+01                 1.640448082e+00           1.627149182e-01           
6.800000000e+00       -5.632339395e+01            -3.649092306e+00                6.963599944e+01                1.847448544e+00                      9.663513179e+00                    -5.812503771e+01                 1.656166387e+00           1.635556786e-01           
6.850000000e+00       -5.661625754e+01            -3.675728017e+00                6.998538039e+01                1.862793236e+00                      9.693394829e+00                    -5.842919232e+01                 1.673267708e+00           1.643900767e-01           
6.900000000e+00       -5.690763023e+01            -3.702363727e+00                7.033294186e+01                1.878170064e+00                      9.722947902e+00                    -5.873182389e+01                 1.691871481e+00           1.652173975e-01           
6.950000000e+00       -5.719754146e+01            -3.728999437e+00                7.067869252e+01                1.893579138e+00                      9.752151627e+00                    -5.903296176e+01                 1.712110341e+00           1.660369080e-01           
7.000000000e+00       -5.748602138e+01            -3.755635148e+00                7.102264102e+01                1.909020563e+00                      9.780984492e+00                    -5.933263597e+01                 1.734132223e+00           1.668478570e-01           
7.050000000e+00       -5.777310087e+01            -3.782270858e+00                7.136479596e+01                1.924494441e+00                      9.809424239e+00                    -5.963087728e+01                 1.758102847e+00           1.676494757e-01           
7.100000000e+00       -5.805881147e+01            -3.808906568e+00                7.170516590e+01                1.940000871e+00                      9.837447866e+00                    -5.992771716e+01                 1.784208684e+00           1.684409786e-01           
7.150000000e+00       -5.834318545e+01            -3.835542278e+00                7.204375936e+01                1.955539949e+00                      9.865031630e+00                    -6.022318778e+01                 1.812660522e+00           1.692215637e-01           
7.200000000e+00       -5.862625579e+01            -3.862177989e+00                7.238058482e+01                1.971111765e+00                      9.892151043e+00                    -6.051732201e+01                 1.843697760e+00           1.699904135e-01           
7.250000000e+00       -5.890805616e+01            -3.888813699e+00                7.271565073e+01                1.986716410e+00                      9.918780873e+00                    -6.081015345e+01                 1.877593630e+00           1.707466958e-01           
7.300000000e+00       -5.918862094e+01            -3.915449409e+00                7.304896550e+01                2.002353967e+00                      9.944895149e+00                    -6.110171638e+01                 1.914661586e+00           1.714895645e-01           
7.350000000e+00       -5.946798521e+01            -3.942085119e+00                7.338053748e+01                2.018024517e+00                      9.970467154e+00                    -6.139204581e+01                 1.955263170e+00           1.722181608e-01           
7.400000000e+00       -5.974618475e+01            -3.968720830e+00                7.371037501e+01                2.033728138e+00                      9.995469432e+00                    -6.168117744e+01                 1.999817781e+00           1.729316140e-01           
7.450000000e+00       -6.002325606e+01            -3.995356540e+00                7.403848638e+01                2.049464901e+00                      1.001987378e+01                    -6.196914770e+01                 2.048814901e+00           1.736290429e-01           
7.500000000e+00       -6.029923633e+01            -4.021992250e+00                7.436487985e+01                2.065234876e+00                      1.004365127e+01                    -6.225599370e+01                 2.102829538e+00           1.743095570e-01           
