position   Delta_Phi_plasma  Delta_Phi_capillary  Delta_Phi_dipole_l   Delta_Phi_dipole_s         Delta_Phi_total_l        Delta_Phi_total_s    I_peak    I_d2_qwf     
(mm)       (rad/pi)          (rad/pi)             (rad/pi)             (rad/pi)                   (rad/pi)                 (rad/pi)             (W/cm^2)  (W/cm^2)     
3.150000000e+00       -2.799879204e+01            -1.704685457e+00                3.074608153e+01                6.124562030e-01                      1.042604036e+00                    -2.909102129e+01                1.425381994e+15     1.425789242e+15        
3.200000000e+00       -2.842139221e+01            -1.731321167e+00                3.117621834e+01                6.226492540e-01                      1.023504965e+00                    -2.953006412e+01                1.419824516e+15     1.420287255e+15        
3.250000000e+00       -2.884309665e+01            -1.757956878e+00                3.160466266e+01                6.328574664e-01                      1.003609126e+00                    -2.996819606e+01                1.414289125e+15     1.414806219e+15        
3.300000000e+00       -2.926388862e+01            -1.784592588e+00                3.203141866e+01                6.430808590e-01                      9.829374521e-01                    -3.040540035e+01                1.408775854e+15     1.409346056e+15        
3.350000000e+00       -2.968375155e+01            -1.811228298e+00                3.245649062e+01                6.533194502e-01                      9.615107634e-01                    -3.084166040e+01                1.403284736e+15     1.403906692e+15        
3.400000000e+00       -3.010266907e+01            -1.837864008e+00                3.287988285e+01                6.635732586e-01                      9.393497697e-01                    -3.127695982e+01                1.397815807e+15     1.398488050e+15        
3.450000000e+00       -3.052062499e+01            -1.864499719e+00                3.330159978e+01                6.738423026e-01                      9.164750783e-01                    -3.171128240e+01                1.392369097e+15     1.393090056e+15        
3.500000000e+00       -3.093760330e+01            -1.891135429e+00                3.372164593e+01                6.841266007e-01                      8.929071982e-01                    -3.214461213e+01                1.386944640e+15     1.387712634e+15        
3.550000000e+00       -3.135358820e+01            -1.917771139e+00                3.414002589e+01                6.944261712e-01                      8.686665454e-01                    -3.257693317e+01                1.381542467e+15     1.382355709e+15        
3.600000000e+00       -3.176856407e+01            -1.944406849e+00                3.455674437e+01                7.047410323e-01                      8.437734459e-01                    -3.300822989e+01                1.376162607e+15     1.377019207e+15        
3.650000000e+00       -3.218251547e+01            -1.971042560e+00                3.497180617e+01                7.150712021e-01                      8.182481393e-01                    -3.343848683e+01                1.370805089e+15     1.371703054e+15        
3.700000000e+00       -3.259542715e+01            -1.997678270e+00                3.538521621e+01                7.254166990e-01                      7.921107815e-01                    -3.386768873e+01                1.365469940e+15     1.366407175e+15        
3.750000000e+00       -3.300728406e+01            -2.024313980e+00                3.579697949e+01                7.357775408e-01                      7.653814464e-01                    -3.429582050e+01                1.360157186e+15     1.361131498e+15        
3.800000000e+00       -3.341807132e+01            -2.050949690e+00                3.620710114e+01                7.461537456e-01                      7.380801278e-01                    -3.472286727e+01                1.354866849e+15     1.355875949e+15        
3.850000000e+00       -3.382777426e+01            -2.077585401e+00                3.661558640e+01                7.565453312e-01                      7.102267398e-01                    -3.514881433e+01                1.349598953e+15     1.350640455e+15        
3.900000000e+00       -3.423637837e+01            -2.104221111e+00                3.702244060e+01                7.669523156e-01                      6.818411172e-01                    -3.557364716e+01                1.344353515e+15     1.345424942e+15        
3.950000000e+00       -3.464386935e+01            -2.130856821e+00                3.742766919e+01                7.773747166e-01                      6.529430159e-01                    -3.599735146e+01                1.339130554e+15     1.340229340e+15        
4.000000000e+00       -3.505023309e+01            -2.157492532e+00                3.783127773e+01                7.878125518e-01                      6.235521113e-01                    -3.641991307e+01                1.333930083e+15     1.335053574e+15        
4.050000000e+00       -3.545545565e+01            -2.184128242e+00                3.823327189e+01                7.982658389e-01                      5.936879979e-01                    -3.684131805e+01                1.328752117e+15     1.329897574e+15        
4.100000000e+00       -3.585952329e+01            -2.210763952e+00                3.863365743e+01                8.087345955e-01                      5.633701870e-01                    -3.726155264e+01                1.323596663e+15     1.324761267e+15        
